№,ФИО,e-mail,Группа
1,Селезнева Мария Глебовна,g0orc3x1@outlook.com,1
2,Сахарова Ева Владимировна,rv7bp@gmail.com,1
3,Сафонова Мария Александровна,93@outlook.com,3
4,Кузнецова Александра Константиновна,er@gmail.com,4
5,Матвеев Николай Тимофеевич,o0my@gmail.com,2
6,Харитонова Сафия Артёмовна,715qy08@gmail.com,2
7,Панкова Алия Богдановна,vubx0t@mail.ru,3
8,Устинова Малика Богдановна,wnhborq@outlook.com,1
9,Суханов Василий Александрович,gq@yandex.ru,4
10,Захарова Алиса Алексеевна,ic0pu@outlook.com,1
